"DATE","PINTI65Q4","PINTI66Q1","PINTI66Q2","PINTI66Q3","PINTI66Q4","PINTI67Q1","PINTI67Q2","PINTI67Q3","PINTI67Q4","PINTI68Q1","PINTI68Q2","PINTI68Q3","PINTI68Q4","PINTI69Q1","PINTI69Q2","PINTI69Q3","PINTI69Q4","PINTI70Q1","PINTI70Q2","PINTI70Q3","PINTI70Q4","PINTI71Q1","PINTI71Q2","PINTI71Q3","PINTI71Q4","PINTI72Q1","PINTI72Q2","PINTI72Q3","PINTI72Q4","PINTI73Q1","PINTI73Q2","PINTI73Q3","PINTI73Q4","PINTI74Q1","PINTI74Q2","PINTI74Q3","PINTI74Q4","PINTI75Q1","PINTI75Q2","PINTI75Q3","PINTI75Q4","PINTI76Q1","PINTI76Q2","PINTI76Q3","PINTI76Q4","PINTI77Q1","PINTI77Q2","PINTI77Q3","PINTI77Q4","PINTI78Q1","PINTI78Q2","PINTI78Q3","PINTI78Q4","PINTI79Q1","PINTI79Q2","PINTI79Q3","PINTI79Q4","PINTI80Q1","PINTI80Q2","PINTI80Q3","PINTI80Q4","PINTI81Q1","PINTI81Q2","PINTI81Q3","PINTI81Q4","PINTI82Q1","PINTI82Q2","PINTI82Q3","PINTI82Q4","PINTI83Q1","PINTI83Q2","PINTI83Q3","PINTI83Q4","PINTI84Q1","PINTI84Q2","PINTI84Q3","PINTI84Q4","PINTI85Q1","PINTI85Q2","PINTI85Q3","PINTI85Q4","PINTI86Q1","PINTI86Q2","PINTI86Q3","PINTI86Q4","PINTI87Q1","PINTI87Q2","PINTI87Q3","PINTI87Q4","PINTI88Q1","PINTI88Q2","PINTI88Q3","PINTI88Q4","PINTI89Q1","PINTI89Q2","PINTI89Q3","PINTI89Q4","PINTI90Q1","PINTI90Q2","PINTI90Q3","PINTI90Q4","PINTI91Q1","PINTI91Q2","PINTI91Q3","PINTI91Q4","PINTI92Q1","PINTI92Q2","PINTI92Q3","PINTI92Q4","PINTI93Q1","PINTI93Q2","PINTI93Q3","PINTI93Q4","PINTI94Q1","PINTI94Q2","PINTI94Q3","PINTI94Q4","PINTI95Q1","PINTI95Q2","PINTI95Q3","PINTI95Q4","PINTI96Q1","PINTI96Q2","PINTI96Q3","PINTI96Q4","PINTI97Q1","PINTI97Q2","PINTI97Q3","PINTI97Q4","PINTI98Q1","PINTI98Q2","PINTI98Q3","PINTI98Q4","PINTI99Q1","PINTI99Q2","PINTI99Q3","PINTI99Q4","PINTI00Q1","PINTI00Q2","PINTI00Q3","PINTI00Q4","PINTI01Q1","PINTI01Q2","PINTI01Q3","PINTI01Q4","PINTI02Q1","PINTI02Q2","PINTI02Q3","PINTI02Q4","PINTI03Q1","PINTI03Q2","PINTI03Q3","PINTI03Q4","PINTI04Q1","PINTI04Q2","PINTI04Q3","PINTI04Q4","PINTI05Q1","PINTI05Q2","PINTI05Q3","PINTI05Q4","PINTI06Q1","PINTI06Q2","PINTI06Q3","PINTI06Q4","PINTI07Q1","PINTI07Q2","PINTI07Q3","PINTI07Q4","PINTI08Q1","PINTI08Q2","PINTI08Q3","PINTI08Q4","PINTI09Q1","PINTI09Q2","PINTI09Q3","PINTI09Q4","PINTI10Q1","PINTI10Q2","PINTI10Q3","PINTI10Q4","PINTI11Q1","PINTI11Q2","PINTI11Q3","PINTI11Q4","PINTI12Q1","PINTI12Q2","PINTI12Q3","PINTI12Q4","PINTI13Q1","PINTI13Q2","PINTI13Q3","PINTI13Q4","PINTI14Q1","PINTI14Q2","PINTI14Q3","PINTI14Q4","PINTI15Q1","PINTI15Q2","PINTI15Q3","PINTI15Q4","PINTI16Q1","PINTI16Q2","PINTI16Q3","PINTI16Q4","PINTI17Q1","PINTI17Q2","PINTI17Q3","PINTI17Q4","PINTI18Q1","PINTI18Q2","PINTI18Q3","PINTI18Q4","PINTI19Q1","PINTI19Q2","PINTI19Q3","PINTI19Q4","PINTI20Q1","PINTI20Q2","PINTI20Q3","PINTI20Q4","PINTI21Q1","PINTI21Q2","PINTI21Q3","PINTI21Q4","PINTI22Q1","PINTI22Q2","PINTI22Q3","PINTI22Q4","PINTI23Q1","PINTI23Q2","PINTI23Q3","PINTI23Q4","PINTI24Q1"
"1947:Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1947:Q2",1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.37933221323359,1.37933221323359,1.37933221323359,1.37933221323359,1.37933221323359,1.37933221323359,1.37933221323359,1.37933221323359,1.37933221323359,1.37933221323359,1.37933221323359,1.37933221323359,1.37933221323359,1.37933221323359,1.37933221323359,1.37933221323359,1.37933221323359,1.37933221323359,1.37933221323359,1.37933221323359,1.36056520557788,1.36056520557788,1.36056520557788,1.36056520557788,1.36056520557788,1.36056520557788,1.36056520557788,1.36056520557788,1.36056520557788,1.36056520557788,1.36056520557788,1.36056520557788,1.36056520557788,1.36056520557788,1.36056520557788,1.36056520557788,1.36056520557788,1.36056520557788,1.36056520557788,1.36056520557788,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,NA,NA,NA,NA,NA,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,NA,NA,NA,NA,NA,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,NA,NA,1.2903404835908,1.2903404835908,1.2903404835908,1.2903404835908,1.2903404835908,1.2903404835908,1.2903404835908,1.2903404835908,1.2903404835908,1.2903404835908,1.2903404835908,1.2903404835908,1.2903404835908,1.2903404835908,1.2903404835908,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,NA,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,2.24728558520586,2.24728558520586,2.24728558520586,2.24728558520586,2.24728558520586,2.24728558520586,2.24728558520586,2.24728558520586,2.24728558520586,2.24728558520586,2.24728558520586,2.24728558520586,2.24728558520586,2.24728558520586,2.24728558520586,2.24728558520586,2.24728558520586,2.24728558520586,2.24728558520586,2.24728558520586,3.39015516756818,3.39015516756818,3.39015516756818,3.39015516756818,3.39015516756818,3.39015516756818,3.39015516756818,3.39015516756818,3.39015516756818,3.39015516756818,3.39015516756818,3.39015516756818,3.39015516756818,3.39015516756818,3.39015516756818,3.39015516756818,3.39015516756818,3.39015516756818,3.39015516756818,3.39015516756818,3.39015516756818,3.39015516756818,3.39015516756818
"1947:Q3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.34230203321404,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,2.63173083173736,2.63173083173736,2.63173083173736,2.63173083173736,2.63173083173736,2.63173083173736,2.63173083173736,2.63173083173736,2.63173083173736,2.63173083173736,2.63173083173736,2.63173083173736,2.63173083173736,2.63173083173736,2.63173083173736,2.63173083173736,2.63173083173736,2.63173083173736,2.63173083173736,2.63173083173736,2.63173083173736,2.63173083173736,NA,2.63173083173736,2.63173083173736,2.63173083173736,2.63173083173736,2.63173083173736,2.63173083173736,2.63173083173736,2.63173083173736,2.63173083173736,2.63173083173736,2.63173083173736,2.63173083173736,2.63173083173736,2.63173083173736,2.63173083173736,2.1978906718775,2.1978906718775,2.1978906718775,2.1978906718775,2.1978906718775,2.1978906718775,2.1978906718775,2.1978906718775,2.1978906718775,2.1978906718775,2.1978906718775,2.1978906718775,2.1978906718775,2.1978906718775,2.1978906718775,2.1978906718775,2.1978906718775,2.1978906718775,2.1978906718775,2.1978906718775,2.1978906718775,2.1978906718775,2.1978906718775,2.1978906718775,2.1978906718775,2.1978906718775,2.1978906718775,2.1978906718775,2.1978906718775,2.1978906718775,2.1978906718775,2.1978906718775,2.1978906718775,2.1978906718775,2.1978906718775,2.1978906718775,2.1978906718775,2.1978906718775,2.1978906718775,2.1978906718775,2.1978906718775,2.1978906718775,2.1978906718775
"1947:Q4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36056520557788,1.36056520557788,1.36056520557788,1.36056520557788,1.36056520557788,1.36056520557788,1.36056520557788,1.36056520557788,1.36056520557788,1.36056520557788,1.36056520557788,1.36056520557788,1.36056520557788,1.36056520557788,1.36056520557788,1.36056520557788,1.36056520557788,1.36056520557788,1.36056520557788,1.36056520557788,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,1.32452267500205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1.30720815673531,1.30720815673531,1.30720815673531,1.30720815673531,1.30720815673531,1.30720815673531,1.30720815673531,1.30720815673531,1.30720815673531,1.30720815673531,1.30720815673531,NA,NA,NA,NA,NA,1.30720815673531,1.30720815673531,1.30720815673531,1.30720815673531,1.30720815673531,1.30720815673531,1.30720815673531,1.30720815673531,1.30720815673531,1.30720815673531,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2903404835908,1.2903404835908,1.2903404835908,1.2903404835908,1.2903404835908,1.2903404835908,1.2903404835908,1.2903404835908,1.2903404835908,1.2903404835908,1.2903404835908,1.2903404835908,1.2903404835908,1.2903404835908,1.2903404835908,1.2903404835908,1.2903404835908,1.2903404835908,1.2903404835908,1.2903404835908,1.2903404835908,1.2903404835908,NA,1.2903404835908,1.2903404835908,1.2903404835908,1.2903404835908,1.2903404835908,1.2903404835908,1.2903404835908,1.2903404835908,1.2903404835908,1.2903404835908,1.2903404835908,1.2903404835908,1.2903404835908,1.2903404835908,1.2903404835908,1.08109161042158,1.08109161042158,1.08109161042158,1.08109161042158,1.08109161042158,1.08109161042158,1.08109161042158,1.08109161042158,1.08109161042158,1.08109161042158,1.08109161042158,1.08109161042158,1.08109161042158,1.08109161042158,1.08109161042158,1.08109161042158,1.08109161042158,1.08109161042158,1.08109161042158,1.08109161042158,2.15062052209638,2.15062052209638,2.15062052209638,2.15062052209638,2.15062052209638,2.15062052209638,2.15062052209638,2.15062052209638,2.15062052209638,2.15062052209638,2.15062052209638,2.15062052209638,2.15062052209638,2.15062052209638,2.15062052209638,2.15062052209638,2.15062052209638,2.15062052209638,2.15062052209638,2.15062052209638,2.15062052209638,2.15062052209638,2.15062052209638
"1948:Q1",3.92207131532816,3.92207131532816,3.92207131532816,3.92207131532816,3.92207131532816,3.92207131532816,3.92207131532816,3.92207131532816,3.92207131532816,3.92207131532816,3.92207131532816,3.92207131532816,3.92207131532816,3.92207131532816,3.92207131532816,3.92207131532816,3.92207131532816,3.92207131532816,3.92207131532816,3.92207131532816,3.92207131532816,3.92207131532816,3.92207131532816,3.92207131532816,3.92207131532816,3.92207131532816,3.92207131532816,3.92207131532816,3.92207131532816,3.92207131532816,3.92207131532816,3.92207131532816,3.92207131532816,3.92207131532816,3.92207131532816,3.92207131532816,3.92207131532816,3.92207131532816,3.92207131532816,3.92207131532816,3.92207131532816,3.97403286495139,3.97403286495139,3.97403286495139,3.97403286495139,3.97403286495139,3.97403286495139,3.97403286495139,3.97403286495139,3.97403286495139,3.97403286495139,3.97403286495139,3.97403286495139,3.97403286495139,3.97403286495139,3.97403286495139,3.97403286495139,3.97403286495139,3.97403286495139,3.97403286495139,3.97403286495139,3.87145121806909,3.87145121806909,3.87145121806909,3.87145121806909,3.87145121806909,3.87145121806909,3.87145121806909,3.87145121806909,3.87145121806909,3.87145121806909,3.87145121806909,3.87145121806909,3.87145121806909,3.87145121806909,3.87145121806909,3.87145121806909,3.87145121806909,3.87145121806909,3.87145121806909,3.87145121806909,5.12932943875506,5.12932943875506,5.12932943875506,5.12932943875506,5.12932943875506,5.12932943875506,5.12932943875506,5.12932943875506,5.12932943875506,5.12932943875506,5.12932943875506,5.12932943875506,5.12932943875506,5.12932943875506,5.12932943875506,5.12932943875506,5.12932943875506,5.12932943875506,5.12932943875506,5.12932943875506,5.12932943875506,5.12932943875506,5.12932943875506,5.12932943875506,NA,NA,NA,NA,NA,3.82212128201975,3.82212128201975,3.82212128201975,3.82212128201975,3.82212128201975,3.82212128201975,3.82212128201975,3.82212128201975,3.82212128201975,3.82212128201975,3.82212128201975,NA,NA,NA,NA,NA,3.82212128201975,3.82212128201975,3.82212128201975,3.82212128201975,3.82212128201975,3.82212128201975,3.82212128201975,3.82212128201975,3.82212128201975,3.82212128201975,NA,NA,4.93927553295763,4.93927553295763,4.93927553295763,4.93927553295763,4.93927553295763,4.93927553295763,4.93927553295763,4.93927553295763,4.93927553295763,4.93927553295763,4.93927553295763,4.93927553295763,4.93927553295763,4.93927553295763,4.93927553295763,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,NA,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,2.12773984472849,2.12773984472849,2.12773984472849,2.12773984472849,2.12773984472849,2.12773984472849,2.12773984472849,2.12773984472849,2.12773984472849,2.12773984472849,2.12773984472849,2.12773984472849,2.12773984472849,2.12773984472849,2.12773984472849,2.12773984472849,2.12773984472849,2.12773984472849,2.12773984472849,2.12773984472849,1.05821093305369,1.05821093305369,1.05821093305369,1.05821093305369,1.05821093305369,1.05821093305369,1.05821093305369,1.05821093305369,1.05821093305369,1.05821093305369,1.05821093305369,1.05821093305369,1.05821093305369,1.05821093305369,1.05821093305369,1.05821093305369,1.05821093305369,1.05821093305369,1.05821093305369,1.05821093305369,1.05821093305369,1.05821093305369,1.05821093305369
"1948:Q2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.30720815673531,-1.30720815673531,-1.30720815673531,-1.30720815673531,-1.30720815673531,-1.30720815673531,-1.30720815673531,-1.30720815673531,-1.30720815673531,-1.30720815673531,-1.30720815673531,-1.30720815673531,-1.30720815673531,-1.30720815673531,-1.30720815673531,-1.30720815673531,-1.30720815673531,-1.30720815673531,-1.30720815673531,-1.30720815673531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,NA,NA,NA,NA,NA,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,NA,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,2.08340869028416,2.08340869028416,2.08340869028416,2.08340869028416,2.08340869028416,2.08340869028416,2.08340869028416,2.08340869028416,2.08340869028416,2.08340869028416,2.08340869028416,2.08340869028416,2.08340869028416,2.08340869028416,2.08340869028416,2.08340869028416,2.08340869028416,2.08340869028416,2.08340869028416,2.08340869028416,1.04712998672953,1.04712998672953,1.04712998672953,1.04712998672953,1.04712998672953,1.04712998672953,1.04712998672953,1.04712998672953,1.04712998672953,1.04712998672953,1.04712998672953,1.04712998672953,1.04712998672953,1.04712998672953,1.04712998672953,1.04712998672953,1.04712998672953,1.04712998672953,1.04712998672953,1.04712998672953,1.04712998672953,1.04712998672953,1.04712998672953
"1948:Q3",1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,1.27390257774298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,NA,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.02565001671895,1.02565001671895,1.02565001671895,1.02565001671895,1.02565001671895,1.02565001671895,1.02565001671895,1.02565001671895,1.02565001671895,1.02565001671895,1.02565001671895,1.02565001671895,1.02565001671895,1.02565001671895,1.02565001671895,1.02565001671895,1.02565001671895,1.02565001671895,1.02565001671895,1.02565001671895,2.06192872027358,2.06192872027358,2.06192872027358,2.06192872027358,2.06192872027358,2.06192872027358,2.06192872027358,2.06192872027358,2.06192872027358,2.06192872027358,2.06192872027358,2.06192872027358,2.06192872027358,2.06192872027358,2.06192872027358,2.06192872027358,2.06192872027358,2.06192872027358,2.06192872027358,2.06192872027358,2.06192872027358,2.06192872027358,2.06192872027358
"1948:Q4",1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,1.25787822068597,2.59754864032611,2.59754864032611,2.59754864032611,2.59754864032611,2.59754864032611,2.59754864032611,2.59754864032611,2.59754864032611,2.59754864032611,2.59754864032611,2.59754864032611,2.59754864032611,2.59754864032611,2.59754864032611,2.59754864032611,2.59754864032611,2.59754864032611,2.59754864032611,2.59754864032611,2.59754864032611,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,1.24225199985575,2.46926125903717,2.46926125903717,2.46926125903717,2.46926125903717,2.46926125903717,2.46926125903717,2.46926125903717,2.46926125903717,2.46926125903717,2.46926125903717,2.46926125903717,2.46926125903717,2.46926125903717,2.46926125903717,2.46926125903717,2.46926125903717,2.46926125903717,2.46926125903717,2.46926125903717,2.46926125903717,2.46926125903717,2.46926125903717,2.46926125903717,2.46926125903717,NA,NA,NA,NA,NA,1.22700925918142,1.22700925918142,1.22700925918142,1.22700925918142,1.22700925918142,1.22700925918142,1.22700925918142,1.22700925918142,1.22700925918142,1.22700925918142,1.22700925918142,NA,NA,NA,NA,NA,1.22700925918142,1.22700925918142,1.22700925918142,1.22700925918142,1.22700925918142,1.22700925918142,1.22700925918142,1.22700925918142,1.22700925918142,1.22700925918142,NA,NA,2.38106486937184,2.38106486937184,2.38106486937184,2.38106486937184,2.38106486937184,2.38106486937184,2.38106486937184,2.38106486937184,2.38106486937184,2.38106486937184,2.38106486937184,2.38106486937184,2.38106486937184,2.38106486937184,2.38106486937184,2.43914531241591,2.43914531241591,2.43914531241591,2.43914531241591,2.43914531241591,2.43914531241591,2.43914531241591,2.43914531241591,2.43914531241591,2.43914531241591,2.43914531241591,2.43914531241591,2.43914531241591,2.43914531241591,2.43914531241591,2.43914531241591,2.43914531241591,2.43914531241591,2.43914531241591,2.43914531241591,2.43914531241591,2.43914531241591,NA,2.43914531241591,2.43914531241591,2.43914531241591,2.43914531241591,2.43914531241591,2.43914531241591,2.43914531241591,2.43914531241591,2.43914531241591,2.43914531241591,2.43914531241591,2.43914531241591,2.43914531241591,2.43914531241591,2.43914531241591,2.02027073175195,2.02027073175195,2.02027073175195,2.02027073175195,2.02027073175195,2.02027073175195,2.02027073175195,2.02027073175195,2.02027073175195,2.02027073175195,2.02027073175195,2.02027073175195,2.02027073175195,2.02027073175195,2.02027073175195,2.02027073175195,2.02027073175195,2.02027073175195,2.02027073175195,2.02027073175195,2.02027073175195,2.02027073175195,2.02027073175195,2.02027073175195,2.02027073175195,2.02027073175195,2.02027073175195,2.02027073175195,2.02027073175195,2.02027073175195,2.02027073175195,2.02027073175195,2.02027073175195,2.02027073175195,2.02027073175195,2.02027073175195,2.02027073175195,2.02027073175195,2.02027073175195,2.02027073175195,2.02027073175195,2.02027073175195,2.02027073175195
